phonics_score,reading_score,alphabet_score,sightwords_score,wordbuilding_score,game_completion_rate,streak_count,session_count_7d,avg_session_gap_days,unlocked_alpha_pct,risk_level
87.65005306605002,76.28870822043686,95.18150830480553,97.84544784612038,66.48769937914996,0.764879456457623,17,6,1.0,0.9542560043585965,0
48.96707509693013,4.177055399065749,29.126232512304508,31.56568706138541,19.80753319498364,0.4628494665190548,0,0,5.698473153382331,0.45484473990269286,2
83.66889731526412,75.00500764724356,80.79205138062157,80.63547027518509,60.99041965121793,0.7562459375310085,6,7,1.193251387631033,0.79422890710441,0
84.78544209524863,65.68890989229682,79.37451160881255,77.95291853803685,81.07699869993115,0.8257052421784956,9,5,1.0,0.8280155791605291,0
90.09250005270243,67.24732408198446,92.59267175515836,69.22376579375525,59.84616999541062,0.8917514433261302,15,6,1.0,0.8690787624148786,0
39.61936445986272,44.90529818237259,38.40497538990958,22.056900638789937,47.18788733591297,0.6712480057141645,1,5,4.042454037571451,0.37097604907897513,2
51.85207963705831,60.878303745841855,15.703823438653835,52.32853756562836,36.30570602357257,0.34019852990682653,2,0,3.170492168243732,0.5714225143023492,2
74.95452320540733,67.66485482349404,97.3232169416166,79.93126664489526,62.05359694349442,0.8769901149670034,10,6,1.0,0.8672337853402232,0
58.87273366202129,44.78871814685753,55.07670184963691,36.481192999372794,13.769438869243785,0.31587093544692824,1,1,3.2580714325009863,0.5808101713629077,2
93.28961797980274,83.0152060057722,74.64983027760766,74.60229186826174,70.90345314911539,1.0,9,6,1.1826441151473783,0.7831321962380469,0
85.1570023150998,71.24894032608275,100.0,53.97223405811579,78.80285640700406,1.0,5,5,1.2498256825438205,0.8496524345883801,0
21.02802812130229,48.02705575218924,41.20863648649295,63.24901607526309,23.251200614956446,0.3355876967588649,3,0,3.841189901906194,0.7614285508564856,2
89.06419030897764,84.24647162764127,80.10439431297534,55.193150803735854,77.82912348425347,0.844547700984978,11,6,1.0,0.9232253697161004,0
77.0969184671438,56.59145872694655,37.13044754196027,49.84830412950745,20.379774946590178,0.5574169207484905,4,1,4.945064193866482,0.5825561853872997,2
81.22283467378152,86.0634841893732,82.88388456299582,62.762845725518424,68.84347435878844,0.8511727962224966,11,6,1.2065009459389535,1.0,0
89.02409871731496,75.71041840745454,81.4328600155111,82.23708622864778,66.64805822011223,0.9071000741138139,12,5,1.0,0.7485152775314136,0
92.55619365717843,72.81162247305463,91.38544740680946,80.77976069593255,56.74213845698301,0.8230587658918292,10,4,1.3788936801741416,0.9560784526368235,1
69.64696009722736,74.41659570331511,94.12028213766928,82.70678926368313,77.72571529459071,1.0,12,7,1.6770008817466011,0.9651391251305799,0
77.5931479501016,72.24309004295338,86.11709161736717,76.22811209079484,100.0,0.5199102211112379,13,4,1.0,1.0,0
74.53803058355838,91.05814416332787,84.1570669462629,78.24687884372962,70.6835775985572,0.7022599478591275,20,6,1.0,0.9186454314769428,0
70.77037284399776,83.4419453206049,94.03989823184365,87.98632791255181,51.99555389416336,0.7498248146238577,7,5,2.0827271201405484,0.9404981710960956,0
60.62600625484414,50.36504070159575,32.2094505106898,32.73648890700623,54.00366723779934,0.25846610687624383,2,4,2.1096042926328753,0.48809492878764,2
36.30393447386284,23.59376964184361,79.48616955897452,18.54787933059051,28.399332699545244,0.4261481154572183,4,0,5.244745628232439,0.5020466122039174,2
47.226969958424135,33.93833287504096,56.04703127485028,34.220296047073596,36.70276017876872,0.5324261349042094,5,0,6.6995500619844,0.10958244009549961,2
91.87422927154512,76.92114901141213,88.3350219971418,67.6049859801175,61.15952864583683,0.9274403145531538,11,5,1.6497999377166253,0.930729952087661,0
75.62164387464317,79.89207385796625,95.9783488409861,84.15555398150197,69.68647609053778,0.8175991074963174,16,5,1.473548690585019,0.8797807347566107,0
53.29014181865308,62.66458091843688,74.58218210731494,40.31505762449139,45.22929456942446,0.3379466486813088,2,2,3.6454939474890775,0.6190314050873827,1
79.81542485209174,67.12282696461199,99.26488698800054,86.87494040944404,79.36179725578234,0.8942518263896421,9,5,1.237902279096863,0.8322838288487888,0
25.377120340625705,28.141893503322322,61.193971814134365,31.54413170794038,22.666694066503528,0.44873744229838247,2,1,2.793442541572516,0.5464099874715272,1
35.836929482903905,32.66213800656068,59.66361348397007,62.13034325424328,47.86489434803029,0.3680122940073146,1,0,3.472230296011415,0.4422682722159723,2
90.31601601370645,97.81738058625302,89.12991881234514,81.02567583148412,80.35215987566669,0.7398169292171246,11,6,1.2488380492744158,0.8226990216144534,0
88.89195745640139,86.96393315244826,100.0,63.489786556679256,83.08480955081018,0.8275013008607528,20,5,1.0,0.8400607354555978,0
